"Qty";"Value";"Device";"Package";"Parts";"Description";"AMBIENT_TEMPERATURE_RANGE_HIGH";"AMBIENT_TEMPERATURE_RANGE_LOW";"ARROW_EUROPE-PURCHASE-URL";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AUTOMOTIVE";"AVAILABILITY";"BUILT_BY";"CENTROID_NOT_SPECIFIED";"CORE_ARCHITECTURE";"DATASHEET";"DATA_BUS_WIDTH";"DESCRIPTION";"DEVICE_CLASS_L1";"DEVICE_CLASS_L2";"DEVICE_CLASS_L3";"DIGIKEY-PURCHASE-URL";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_PARAMETERS_1";"FOOTPRINT_PARAMETERS_2";"FOOTPRINT_PARAMETERS_3";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"FOOTPRINT_VARIANT_NAME_3";"FREQUENCY";"HEIGHT";"INTERFACE";"LEAD_FREE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAX_JUNCTION_TEMP";"MAX_SUPPLY_VOLTAGE";"MEMORY_SIZE";"MEMORY_TYPE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_COMPONENT_ID";"MFG_PACKAGE_IDENT_DATE";"MFG_PACKAGE_IDENT_REV";"MIN_SUPPLY_VOLTAGE";"MOUSER-PURCHASE-URL";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"NUMBER_OF_A/D_CONVERTERS";"NUMBER_OF_ADC_CHANNELS";"NUMBER_OF_CORES";"NUMBER_OF_I/OS";"NUMBER_OF_I2C_CHANNELS";"NUMBER_OF_PWM_CHANNELS";"NUMBER_OF_SPI_CHANNELS";"NUMBER_OF_TIMERS/COUNTERS";"NUMBER_OF_UART_CHANNELS";"NUMBER_OF_USB_CHANNELS";"PACKAGE";"POPULARITY";"PREFIX";"PRICE";"PROD_ID";"RAM_SIZE";"ROHS";"SOURCELIBRARY";"STANDOFF_HEIGHT";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"VENDOR";"VERIFICATION_VERSION";
"2";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1, LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"28";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"V_REG_LM1117SOT223";"SOT223";"U2";"Voltage Regulator LM1117";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"VREG-08170";"";"";"";"";"";"";"";"";
"1";"0";"R_0603";"R0603";"R3";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"0.1uf";"C_0603";"C0603";"C1, C2, C3, C11, C12, C13, C17, C18, C19, C23, C24, C25";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nf";"C_0603";"C0603";"C28";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100uf";"C_1206";"C1206";"C15, C21, C27";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10K";"R_0603";"R0603";"R4, R5, R6";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10nf";"C_0603";"C0603";"C9, C10, C16, C22";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uf";"C_0603";"C0603";"C29";"NON-POLARIZED CAP";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"120";"R_0603";"R0603";"R13";"RESISTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
