C11  9.33  6.67   0 0.1uf C0603
C17 19.75  6.60   0 0.1uf C0603
C23 30.10  6.60   0 0.1uf C0603
C28 13.46 18.73  45 100nf C0603
C29  6.35 24.45  47 10uf C0603
C30 20.19 28.19   0 1uf C0603
C31 23.37 28.19   0 1uf C0603
CAN 30.13 27.81 270 SM03B-SRSS-TB(LF)(SN) JST_SM03B-SRSS-TB(LF)(SN)
EN_1  7.05  3.86 180 54550-0494 CON4_1X4_DRB2_MOL
EN_2 17.46  3.80 180 54550-0494 CON4_1X4_DRB2_MOL
EN_3 27.81  3.80 180 54550-0494 CON4_1X4_DRB2_MOL
LED2  3.75 24.32 270  CHIPLED_0603
R4 10.35 14.29 270 10K R0603
R5 20.76 14.22 270 10K R0603
R6 31.12 14.22 270 10K R0603
R7  6.29  6.35   0 2.4k R0603
R8  6.29  7.75   0 2.4k R0603
R9 16.70  6.29   0 2.4k R0603
R10 16.70  7.75   0 2.4k R0603
R11 27.05  6.16   0 2.4k R0603
R12 27.05  7.62   0 2.4k R0603
R13 26.23 25.46 270 120 R0603
R15  2.98 22.29  90 3K R0603
SPI 30.18 20.32 270 SM06B-SRSS-TB SM06B
U2 11.35 23.12 315  SOT223
U3 21.65 24.89 180 MCP2561-E/SN SOIC127P600X175-8N
