5V_IN 30.20 26.23  90 SM03B-SRSS-TB(LF)(SN) JST_SM03B-SRSS-TB(LF)(SN)
C1 19.11 32.45   0 0.1uf C0603
C2 24.70 23.75   0 0.1uf C0603
C3  7.94 21.02 180 0.1uf C0603
C4 15.94 32.45   0 1uf C0603
C5 12.38 15.56  46 4.7uf C1206
C6 12.32 32.51 137 22pf C0603
C7  9.40 31.24  46 22pf C0603
C8  8.06 28.57 315 1uf C0603
C9  6.98 27.56 315 10nf C0603
C10  2.98 10.99  90 10nf C0603
C12  1.46  7.94 270 0.1uf C0603
C13  2.98  7.94  90 0.1uf C0603
C14 11.68 11.56 270 470nf C0603
C15  1.97  3.62  90 100uf C1206
C16 13.40 10.92  90 10nf C0603
C18 11.87  7.87 270 0.1uf C0603
C19 13.40  7.87  90 0.1uf C0603
C20 22.10 11.49 270 470nf C0603
C21 12.38  3.49  90 100uf C1206
C22 23.75 10.92  90 10nf C0603
C24 22.23  7.87 270 0.1uf C0603
C25 23.75  7.87  90 0.1uf C0603
C26 32.45 11.49 270 470nf C0603
C27 22.73  3.49  90 100uf C1206
IC1  7.30 10.48   0 DRV8313RHHR QFN50P600X600X100-37N
IC2 17.72 10.41   0 DRV8313RHHR QFN50P600X600X100-37N
IC3 28.07 10.41   0 DRV8313RHHR QFN50P600X600X100-37N
L2  3.94 26.92 180 22uh PM0603
LED1  4.19 18.61  90  CHIPLED_0603
MOT1  6.99  4.03   0 SM03B-SRSS-TB(LF)(SN) JST_SM03B-SRSS-TB(LF)(SN)
MOT2 17.34  3.97   0 SM03B-SRSS-TB(LF)(SN) JST_SM03B-SRSS-TB(LF)(SN)
MOT3 27.69  3.97   0 SM03B-SRSS-TB(LF)(SN) JST_SM03B-SRSS-TB(LF)(SN)
PRO 26.61 31.71 180 SM06B-SRSS-TB SM06B
PWR 30.20 19.37  90 SM04B-SRSS-TB(LF)(SN) JST_SM04B-SRSS-TB(LF)(SN)
Q2 10.79 30.29  46 32.768khz 3.2X1.5
R1  3.94 28.45   0 4.7k R0603
R2 20.89 30.86 180 4.7k R0603
R3  1.97 15.05  90 0 R0603
R14  3.43 16.57  90 2K R0603
S1  4.32 32.13   0 MOMENTARY-SWITCH-SPST-SMD-RIGHT-ANGLE TACTILE_SWITCH_SMD_RIGHT_ANGLE
SERIAL  3.33 21.97 270 SM03B-SRSS-TB(LF)(SN) JST_SM03B-SRSS-TB(LF)(SN)
U1 15.94 24.38 315 STMICROELECTRONICS_STM32F446RET6STMICROELECTRONICS_STM32F446RET6_0_0 STMICROELECTRONICS_STM32F446RET6_0
